x-axis,1KHZ,2,3
second,Volt,Volt,Volt
-233.931103E-03,+44.930211E-03,+27.067122E-03,-1.241889839E+00
-233.924207E-03,+55.488197E-03,+32.451695E-03,-1.275362643E+00
-233.917311E-03,+44.930209E-03,+27.067121E-03,-1.242789258E+00
-233.910415E-03,+77.503597E-03,+21.223843E-03,-1.241889843E+00
-233.903519E-03,+56.387611E-03,+32.451697E-03,-1.231331849E+00
-233.896623E-03,+55.488202E-03,+38.294973E-03,-1.241889845E+00
-233.889726E-03,+66.945605E-03,+38.294973E-03,-1.231331847E+00
-233.882830E-03,+44.930203E-03,+60.750684E-03,-1.241889847E+00
-233.875934E-03,+55.488206E-03,+49.981520E-03,-1.231331845E+00
-233.869038E-03,+66.945605E-03,+60.750686E-03,-1.219874445E+00
-233.862142E-03,+44.930199E-03,+49.981518E-03,-1.219874445E+00
-233.855246E-03,+33.472802E-03,+49.522831E-03,-1.219874445E+00
-233.848350E-03,+77.503619E-03,+44.138244E-03,-1.263905261E+00
-233.841454E-03,+78.402998E-03,+38.294973E-03,-1.286820050E+00
-233.834558E-03,+88.961015E-03,+49.522833E-03,-1.242789229E+00
-233.827661E-03,+78.402996E-03,+21.682522E-03,-1.219874445E+00
-233.820765E-03,+44.930192E-03,+26.608435E-03,-1.241889858E+00
-233.813869E-03,+55.488217E-03,+27.067111E-03,-1.231331834E+00
-233.806973E-03,+22.914774E-03,+43.679567E-03,-1.241889861E+00
-233.800077E-03,+44.030833E-03,+32.910377E-03,-1.275362664E+00
-233.793181E-03,+44.930187E-03,+43.679570E-03,-1.308835468E+00
-233.786285E-03,+77.503640E-03,+32.910375E-03,-1.276262015E+00
-233.779389E-03,+78.402987E-03,+43.679572E-03,-1.253347248E+00
-233.772493E-03,+110.976448E-03,+44.138237E-03,-1.275362669E+00
-233.765596E-03,+111.875787E-03,+49.522839E-03,-1.264804628E+00
-233.758700E-03,+78.402984E-03,+55.366103E-03,-1.275362672E+00
-233.751804E-03,+88.961030E-03,+55.366103E-03,-1.242789200E+00
-233.744908E-03,+78.402981E-03,+66.593970E-03,-1.263905298E+00
-233.738012E-03,+66.945605E-03,+49.981496E-03,-1.264804623E+00
-233.731116E-03,+44.930176E-03,+27.067104E-03,-1.275362676E+00
-233.724220E-03,+77.503662E-03,+21.223843E-03,-1.264804621E+00
-233.717324E-03,+100.418407E-03,+32.451713E-03,-1.231331817E+00
-233.710428E-03,+78.402975E-03,+38.294973E-03,-1.241889878E+00
-233.703531E-03,+66.945605E-03,+38.294973E-03,-1.275362681E+00
-233.696635E-03,+66.945605E-03,+38.294973E-03,-1.264804616E+00
-233.689739E-03,+88.961041E-03,+38.294973E-03,-1.253347248E+00
-233.682843E-03,+78.402970E-03,+27.067100E-03,-1.253347248E+00
-233.675947E-03,+66.945605E-03,+43.679591E-03,-1.297378124E+00
-233.669051E-03,+88.961044E-03,+55.366103E-03,-1.276261974E+00
-233.662155E-03,+100.418407E-03,+44.138228E-03,-1.275362688E+00
-233.655259E-03,+78.402966E-03,+15.839222E-03,-1.264804608E+00
-233.648363E-03,+88.961048E-03,+37.836342E-03,-1.253347248E+00
-233.641466E-03,+78.402963E-03,+44.138226E-03,-1.231331804E+00
-233.634570E-03,+66.945605E-03,+49.522850E-03,-1.263905336E+00
-233.627674E-03,+66.945605E-03,+44.138224E-03,-1.242789157E+00
-233.620778E-03,+44.930157E-03,+38.294973E-03,-1.219874445E+00
-233.613882E-03,+33.472802E-03,+49.522852E-03,-1.219874445E+00
-233.606986E-03,+55.488253E-03,+32.910343E-03,-1.219874445E+00
-233.600090E-03,+88.961057E-03,+43.679604E-03,-1.241889897E+00
-233.593194E-03,+122.433860E-03,+66.593984E-03,-1.231331795E+00
-233.586298E-03,+89.860302E-03,+49.981469E-03,-1.241889899E+00
-233.579401E-03,+22.914695E-03,+49.522855E-03,-1.253347248E+00
-233.572505E-03,+66.046369E-03,+55.366103E-03,-1.253347248E+00
-233.565609E-03,+78.402950E-03,+55.366103E-03,-1.231331790E+00
-233.558713E-03,+88.961064E-03,+66.593987E-03,-1.285920822E+00
-233.551817E-03,+100.418407E-03,+61.209347E-03,-1.276261933E+00
-233.544921E-03,+100.418407E-03,+55.366103E-03,-1.253347248E+00
-233.538025E-03,+122.433870E-03,+32.910330E-03,-1.253347248E+00
-233.531129E-03,+89.860283E-03,+32.451730E-03,-1.231331784E+00
-233.524233E-03,+66.945605E-03,+49.522860E-03,-1.285920840E+00
-233.517336E-03,+66.945605E-03,+55.366103E-03,-1.320292853E+00
-233.510440E-03,+66.945605E-03,+66.593991E-03,-1.254246451E+00
-233.503544E-03,+44.930137E-03,+61.209343E-03,-1.241889914E+00
-233.496648E-03,+55.488272E-03,+55.366103E-03,-1.253347248E+00
-233.489752E-03,+66.945605E-03,+55.366103E-03,-1.231331777E+00
-233.482856E-03,+88.961077E-03,+44.138212E-03,-1.219874445E+00
-233.475960E-03,+100.418407E-03,+38.294973E-03,-1.197858972E+00
-233.469064E-03,+56.387459E-03,+38.294973E-03,-1.208417117E+00
-233.462168E-03,+55.488278E-03,+38.294973E-03,-1.241889921E+00
-233.455272E-03,+88.961082E-03,+60.750760E-03,-1.253347248E+00
-233.448375E-03,+122.433886E-03,+72.437232E-03,-1.275362726E+00
-233.441479E-03,+67.844772E-03,+38.753548E-03,-1.264804571E+00
-233.434583E-03,+77.503764E-03,+32.451738E-03,-1.253347248E+00
-233.427687E-03,+100.418407E-03,+60.750765E-03,-1.275362730E+00
-233.420791E-03,+78.402925E-03,+16.297749E-03,-1.242789084E+00
-233.413895E-03,+66.945605E-03,+20.765275E-03,-1.241889929E+00
-233.406999E-03,+66.945605E-03,+38.294973E-03,-1.231331762E+00
-233.400103E-03,+66.945605E-03,+60.750770E-03,-1.219874445E+00
-233.393207E-03,+88.961093E-03,+83.665131E-03,-1.241889933E+00
-233.386310E-03,+122.433896E-03,+55.824663E-03,-1.231331759E+00
-233.379414E-03,+67.844739E-03,+60.750773E-03,-1.241889936E+00
-233.372518E-03,+77.503785E-03,+38.753530E-03,-1.209316265E+00
-233.365622E-03,+78.402915E-03,+21.223843E-03,-1.230432628E+00
-233.358726E-03,+66.945605E-03,+43.679647E-03,-1.253347248E+00
-233.351830E-03,+132.992090E-03,+55.366103E-03,-1.231331753E+00
-233.344934E-03,+79.302028E-03,+32.910296E-03,-1.241889942E+00
-233.338038E-03,+55.488300E-03,+54.907555E-03,-1.231331750E+00
-233.331142E-03,+66.945605E-03,+61.209328E-03,-1.219874445E+00
-233.324245E-03,+66.945605E-03,+55.366103E-03,-1.219874445E+00
-233.317349E-03,+66.945605E-03,+55.366103E-03,-1.241889946E+00
-233.310453E-03,+88.961107E-03,+55.366103E-03,-1.231331746E+00
-233.303557E-03,+78.402904E-03,+32.910288E-03,-1.219874445E+00
-233.296661E-03,+88.961110E-03,+43.679658E-03,-1.241889950E+00
-233.289765E-03,+100.418407E-03,+77.821919E-03,-1.231331742E+00
-233.282869E-03,+100.418407E-03,+67.052544E-03,-1.263905460E+00
-233.275973E-03,+100.418407E-03,+66.594012E-03,-1.242789034E+00
-233.269077E-03,+78.402898E-03,+49.981412E-03,-1.219874445E+00
-233.262180E-03,+66.945605E-03,+38.294973E-03,-1.197858935E+00
-233.255284E-03,+88.961117E-03,+38.294973E-03,-1.208417155E+00
-233.248388E-03,+78.402894E-03,+38.294973E-03,-1.219874445E+00
-233.241492E-03,+88.961119E-03,+49.522885E-03,-1.263905474E+00
-233.234596E-03,+100.418407E-03,+44.138189E-03,-1.242789019E+00
-233.227700E-03,+56.387374E-03,+38.294973E-03,-1.219874445E+00
-233.220804E-03,+99.519356E-03,+38.294973E-03,-1.219874445E+00
-233.213908E-03,+89.860172E-03,+38.294973E-03,-1.263905484E+00
-233.207012E-03,+88.961125E-03,+60.750804E-03,-1.242789010E+00
-233.200115E-03,+78.402886E-03,+72.437232E-03,-1.219874445E+00
-233.193219E-03,+66.945605E-03,+38.753482E-03,-1.241889968E+00
-233.186323E-03,+66.945605E-03,+32.451761E-03,-1.231331724E+00
-233.179427E-03,+110.976655E-03,+60.750809E-03,-1.219874445E+00
-233.172531E-03,+111.875684E-03,+61.209314E-03,-1.241889972E+00
-233.165635E-03,+100.418407E-03,+66.594022E-03,-1.253347248E+00
-233.158739E-03,+78.402879E-03,+49.981392E-03,-1.253347248E+00
-233.151843E-03,+88.961135E-03,+15.839132E-03,-1.231331718E+00
-233.144947E-03,+122.433939E-03,+26.608556E-03,-1.241889977E+00
-233.138050E-03,+111.875678E-03,+27.067051E-03,-1.231331715E+00
-233.131154E-03,+78.402874E-03,+54.907611E-03,-1.219874445E+00
-233.124258E-03,+88.961140E-03,+72.437232E-03,-1.241889980E+00
-233.117362E-03,+56.387335E-03,+61.209309E-03,-1.231331712E+00
-233.110466E-03,+55.488340E-03,+55.366103E-03,-1.219874445E+00
-233.103570E-03,+110.976682E-03,+32.910253E-03,-1.219874445E+00
-233.096674E-03,+89.860131E-03,+43.679694E-03,-1.219874445E+00
-233.089778E-03,+66.945605E-03,+66.594029E-03,-1.197858904E+00
-233.082882E-03,+66.945605E-03,+49.981379E-03,-1.208417185E+00
-233.075986E-03,+66.945605E-03,+27.067045E-03,-1.219874445E+00
-233.069089E-03,+44.930060E-03,+32.451771E-03,-1.219874445E+00
-233.062193E-03,+55.488348E-03,+71.978759E-03,-1.241889991E+00
-233.055297E-03,+88.961152E-03,+78.280433E-03,-1.253347248E+00
-233.048401E-03,+100.418407E-03,+61.209302E-03,-1.231331700E+00
-233.041505E-03,+122.433957E-03,+32.910242E-03,-1.197858896E+00
-233.034609E-03,+89.860109E-03,+21.223843E-03,-1.230432744E+00
-233.027713E-03,+88.961157E-03,+21.223843E-03,-1.253347248E+00
-233.020817E-03,+100.418407E-03,+66.135572E-03,-1.231331695E+00
-233.013921E-03,+100.418407E-03,+67.052496E-03,-1.197858891E+00
-233.007024E-03,+78.402852E-03,+44.138169E-03,-1.208417198E+00
-233.000128E-03,+66.945605E-03,+38.294973E-03,-1.197858889E+00
-232.993232E-03,+66.945605E-03,+49.522908E-03,-1.230432758E+00
-232.986336E-03,+66.945605E-03,+44.138167E-03,-1.231331689E+00
-232.979440E-03,+88.961165E-03,+60.750845E-03,-1.263905566E+00
-232.972544E-03,+100.418407E-03,+38.753422E-03,-1.264804489E+00
-232.965648E-03,+122.433970E-03,+32.451780E-03,-1.231331685E+00
-232.958752E-03,+111.875646E-03,+38.294973E-03,-1.219874445E+00
-232.951856E-03,+78.402842E-03,+60.750850E-03,-1.197858880E+00
-232.944959E-03,+88.961171E-03,+72.437232E-03,-1.208417209E+00
-232.938063E-03,+100.418407E-03,+72.437232E-03,-1.219874445E+00
-232.931167E-03,+100.418407E-03,+38.753411E-03,-1.219874445E+00
-232.924271E-03,+78.402838E-03,+54.907666E-03,-1.197858875E+00
-232.917375E-03,+110.976747E-03,+49.981349E-03,-1.230432785E+00
-232.910479E-03,+111.875638E-03,+60.750857E-03,-1.253347248E+00
-232.903583E-03,+100.418407E-03,+38.753404E-03,-1.231331674E+00
-232.896687E-03,+100.418407E-03,+54.907673E-03,-1.219874445E+00
-232.889791E-03,+100.418407E-03,+61.209288E-03,-1.219874445E+00
-232.882894E-03,+78.402830E-03,+44.138158E-03,-1.219874445E+00
-232.875998E-03,+88.961183E-03,+38.294973E-03,-1.219874445E+00
-232.869102E-03,+100.418407E-03,+38.294973E-03,-1.241890025E+00
-232.862206E-03,+100.418407E-03,+49.522919E-03,-1.231331667E+00
-232.855310E-03,+100.418407E-03,+66.594050E-03,-1.241890027E+00
-232.848414E-03,+78.402824E-03,+61.209285E-03,-1.231331665E+00
-232.841518E-03,+88.961189E-03,+32.910206E-03,-1.219874445E+00
-232.834622E-03,+100.418407E-03,+54.907690E-03,-1.219874445E+00
-232.827726E-03,+100.418407E-03,+49.981333E-03,-1.219874445E+00
-232.820829E-03,+122.433995E-03,+15.839072E-03,-1.219874445E+00
-232.813933E-03,+89.860032E-03,+26.608615E-03,-1.241890035E+00
-232.807037E-03,+88.961195E-03,+60.750876E-03,-1.231331657E+00
-232.800141E-03,+78.402816E-03,+16.297472E-03,-1.219874445E+00
-232.793245E-03,+66.945605E-03,+20.765442E-03,-1.219874445E+00
-232.786349E-03,+132.992387E-03,+49.522926E-03,-1.219874445E+00
-232.779453E-03,+123.332822E-03,+77.822010E-03,-1.197858850E+00
-232.772557E-03,+78.402811E-03,+100.736317E-03,-1.208417239E+00
-232.765661E-03,+66.945605E-03,+95.351537E-03,-1.197858848E+00
-232.758764E-03,+88.961204E-03,+44.596539E-03,-1.208417242E+00
-232.751868E-03,+100.418407E-03,+43.679756E-03,-1.219874445E+00
